,Binding Energy (kJ/mol/OSDA),Host,Guest SMILES,Guests/Cell,ID,Constant,Metric,Theory,Parent ID,Method
357,-170.30185252550015,GME,NCCNCCNCCN,1,137504504,V,frz,FF,83494329,"FF (frz, V)"
365,-169.67993285723142,CZP,NCCNCCNCCN,1,137325447,V,MD,FF,83526154,"FF (MD, V)"
368,-169.42417867402136,AFI,CCCN,1,137242239,P,opt,FF,83508399,"FF (opt, P)"
369,-169.39712441195735,RTH,CC(C)NC(C)C,1,137321168,V,MD,FF,83496951,"FF (MD, V)"
374,-169.05953705585014,SOD,CCN,2,137448248,P,MD,FF,83493434,"FF (MD, P)"
378,-168.82329307086582,RTH,CC(C)NC(C)C,1,137364046,V,MD,FF,83496952,"FF (MD, V)"
389,-167.51549843680172,LTA,C1CCCNCCC1,1,137443832,P,frz,FF,83547843,"FF (frz, P)"
405,-166.01773902888263,RTE,C1C[C@H]2CC[C@@H]1CNC2,2,137351907,V,opt,FF,83596148,"FF (opt, V)"
410,-165.60719063288656,SFN,CCN(CC)CC,1,86148119,P,opt,DFT,83533941,"DFT (opt, P)"
418,-164.89854554686923,SFE,CN(C)c1ccncc1,1,137348885,V,opt,FF,83596187,"FF (opt, V)"
423,-164.54091693450567,RTH,C1CNCCN1,2,137443818,P,frz,FF,83545666,"FF (frz, P)"
424,-164.51285032097448,RTE,N[C@@H]1C[C@H]2CC[C@@H]1C2,1,137365580,V,frz,FF,83518459,"FF (frz, V)"
430,-163.86880215391275,RTE,C1C[C@H]2CC[C@@H]1CNC2,2,137315870,V,frz,FF,83596150,"FF (frz, V)"
431,-163.86779098780272,RTH,C1CCCNCC1,2,137440835,P,frz,FF,83597302,"FF (frz, P)"
447,-162.83053042388698,RTE,N[C@@H]1C[C@H]2CC[C@@H]1C2,1,137365580,V,opt,FF,83518459,"FF (opt, V)"
450,-162.32574433747575,AFI,C1CN2CCN1CC2,1,137440635,P,opt,FF,83524050,"FF (opt, P)"
452,-162.28738445929164,AFI,CCCN,1,137242239,P,MD,FF,83508399,"FF (MD, P)"
455,-162.22706735766369,CHA,CCN(C(C)C)C(C)C,2,137327948,V,frz,FF,87638165,"FF (frz, V)"
463,-161.6560831784654,RTH,C1CNCCN1,2,137491982,P,frz,FF,83545667,"FF (frz, P)"
465,-161.435283287086,RTH,CN1CCCCC1,2,138025354,P,frz,FF,83596519,"FF (frz, P)"
470,-161.18140726457554,LTA,C1N2CN3CN1CN(C2)C3,1,137220561,P,frz,FF,83494298,"FF (frz, P)"
471,-161.17571849035224,LTA,C1N2CN3CN1CN(C2)C3,1,137441101,P,frz,FF,83494297,"FF (frz, P)"
475,-161.0074780099355,LTA,C1N2CN3CN1CN(C2)C3,1,137220561,P,opt,FF,83494298,"FF (opt, P)"
476,-161.00325484766063,LTA,C1N2CN3CN1CN(C2)C3,1,137441101,P,opt,FF,83494297,"FF (opt, P)"
480,-160.65943617855618,AFI,C1CN2CCN1CC2,1,137440640,P,frz,FF,83524052,"FF (frz, P)"
487,-160.47992331868699,LTA,C1CCCNCCC1,1,137443832,P,opt,FF,83547843,"FF (opt, P)"
502,-159.76157856385217,BEC,CN(C)CCN(C)C,1,137440652,P,frz,FF,83525944,"FF (frz, P)"
503,-159.7544190158694,SAS,C1CCNCC1,1,137219967,P,MD,FF,83519527,"FF (MD, P)"
506,-159.65911405296615,GME,NCCNCCNCCN,1,137504504,V,opt,FF,83494329,"FF (opt, V)"
508,-159.51284038441253,RTE,CN1C(C)(C)CCCC1(C)C,1,137448845,V,opt,FF,83494075,"FF (opt, V)"
511,-159.40816250037884,RTE,C1C[C@H]2CC[C@@H]1CNC2,1,137318385,V,frz,FF,83596145,"FF (frz, V)"
519,-159.02732531013777,RTH,C1CCCNCC1,1,137446118,P,frz,FF,83597297,"FF (frz, P)"
532,-158.54065820119226,CHA,C1COCCN1,2,137440748,P,opt,FF,87647601,"FF (opt, P)"
533,-158.50328461409265,LTA,C1N2CN3CN1CN(C2)C3,1,137441103,P,frz,FF,83494299,"FF (frz, P)"
535,-158.23637921452823,LTA,C1N2CN3CN1CN(C2)C3,1,137441103,P,opt,FF,83494299,"FF (opt, P)"
552,-157.07822689167656,RHO,C1COCCOCCOCCOCCOCCO1,2,137441078,V,opt,FF,87649914,"FF (opt, V)"
557,-156.87297367924168,ATO,CN(C)C,2,137319738,V,opt,FF,87647523,"FF (opt, V)"
558,-156.7688568573208,RTH,C1CCNCC1,1,137503093,P,frz,FF,83500855,"FF (frz, P)"
560,-156.68528706583984,AFI,C1CNCCNC1,1,137242032,P,frz,FF,83511547,"FF (frz, P)"
576,-155.7785653185246,LTA,C1N2CN3CN1CN(C2)C3,1,137441101,P,MD,FF,83494297,"FF (MD, P)"
581,-155.50658964225417,AFI,CN1CCNCC1,1,137443804,P,frz,FF,83542591,"FF (frz, P)"
592,-154.62600289908988,GME,NCCNCCNCCN,1,137501649,P,frz,FF,83494329,"FF (frz, P)"
594,-154.53581614464687,SFO,CN(C)c1ccncc1,1,137448227,P,frz,FF,83490298,"FF (frz, P)"
596,-154.52079531067318,SFO,CN(C)c1ccncc1,1,137448226,P,frz,FF,83490297,"FF (frz, P)"
605,-153.98044666654147,RTH,CC1CCNCC1,1,137496132,P,frz,FF,83595460,"FF (frz, P)"
610,-153.85693291914612,RTE,C1C[C@H]2CC[C@@H]1CNC2,1,137318385,V,opt,FF,83596145,"FF (opt, V)"
619,-153.36199072587297,RTE,C1C[C@H]2CC[C@@H]1CNC2,1,137318385,V,MD,FF,83596145,"FF (MD, V)"
621,-153.31174167701536,SFE,CN(C)c1ccncc1,1,84765119,P,opt,DFT,83596187,"DFT (opt, P)"
629,-153.10851996290202,RTH,C[C@H]1CNC[C@H](C)C1,2,137219067,P,frz,FF,83609193,"FF (frz, P)"
634,-153.00442919201657,AFI,C1CN2CCN1CC2,1,137440635,P,frz,FF,83524050,"FF (frz, P)"
637,-152.81971094935676,AFI,C1COCCN1,1,137217003,P,opt,FF,83511765,"FF (opt, P)"
648,-152.26870955918474,SAS,CN1CCCN(C)CCN(C)CCCN(C)CC1,1,137347151,V,MD,FF,83541317,"FF (MD, V)"
650,-152.22708670934543,LTA,C1CCCNCCC1,1,137443832,P,MD,FF,83547843,"FF (MD, P)"
654,-151.99565205819565,AEL,CC(C)NC(C)C,1,137327818,V,frz,FF,87639867,"FF (frz, V)"
655,-151.9567646164911,CHA,CCN(C(C)C)C(C)C,2,137327948,V,opt,FF,87638165,"FF (opt, V)"
657,-151.8315575517984,LTA,C1COCCOCCOCCOCCOCCN1,1,147675165,P,opt,DFT,83490078,"DFT (opt, P)"
679,-150.59272758481518,SSY,C1CCNC1,1,147694545,P,opt,DFT,83494366,"DFT (opt, P)"
685,-150.2400689310641,LTA,C1COCCOCCOCCOCCOCCN1,1,148085360,V,opt,DFT,83490078,"DFT (opt, V)"
686,-150.22378678096078,AFI,C1COCCN1,1,137217003,P,MD,FF,83511765,"FF (MD, P)"
691,-150.16352327058175,AFO,CCCNCCC,1,137355882,V,frz,FF,87638523,"FF (frz, V)"
709,-149.2141950817045,CHA,C1CNCCN1,2,137440881,P,opt,FF,87638300,"FF (opt, P)"
710,-149.17035167175078,AFI,C[C@H](CN)CCCN,1,137320193,V,opt,FF,83492532,"FF (opt, V)"
715,-149.0716790337773,RTH,CN1CCCCC1,2,137440812,P,frz,FF,83596520,"FF (frz, P)"
721,-148.9242128202721,LTA,C1N2CN3CN1CN(C2)C3,1,137441103,P,MD,FF,83494299,"FF (MD, P)"
724,-148.74354598247245,RTH,C1CCNCC1,1,137443287,P,frz,FF,83500854,"FF (frz, P)"
731,-148.4711515332886,SOD,CP(C)C,1,137220537,P,opt,FF,87647250,"FF (opt, P)"
754,-147.46302760505776,RTE,CN1C(C)(C)CCCC1(C)C,1,137330832,V,frz,FF,83494077,"FF (frz, V)"
762,-147.11312465080545,AFI,C1CN2CCN1CC2,1,137440635,P,MD,FF,83524050,"FF (MD, P)"
768,-146.97022113546396,RTH,CC1CCNCC1,1,137446092,P,frz,FF,83595462,"FF (frz, P)"
772,-146.89191016783258,RTE,C1C[C@H]2CC[C@@H]1CNC2,2,137351907,V,MD,FF,83596148,"FF (MD, V)"
