ID,Framework,Total Energy (kJ/mol Si),Method,Optimizer
137326261,AFT,173.61741375048862,opt,BFGS + RFO (G < 0.15)
137346582,AFT,189.13707312597202,MD,BFGS + RFO (G < 0.05)
137326261,AFT,189.04854796346334,MD,BFGS + RFO (G < 0.15)
137346582,AFT,174.02288960519832,opt,BFGS + RFO (G < 0.05)
137336557,AFT,174.32841662942286,opt,Lower + RFO
137336557,AFT,189.00887024416505,MD,Lower + RFO
137353977,AFV,178.07546299306367,opt,BFGS + RFO (G < 0.15)
137353977,AFV,192.52013314082546,MD,BFGS + RFO (G < 0.15)
137352473,AFV,192.4642779486339,MD,BFGS + RFO (G < 0.05)
137352473,AFV,178.07546321819606,opt,BFGS + RFO (G < 0.05)
137360379,AFV,179.95529711188541,opt,Lower + RFO
137360379,AFV,192.38737485354545,MD,Lower + RFO
137357323,AFV,178.07546312171078,opt,CG + RFO (G < 0.10)
137357323,AFV,192.32381873861803,MD,CG + RFO (G < 0.10)
137325070,AFX,188.26773244221184,MD,Lower + RFO
137325070,AFX,173.0891817189221,opt,Lower + RFO
137318199,AFX,173.00762652073493,opt,CG + RFO (G < 0.10)
137371345,AFX,188.3221133187735,MD,BFGS + RFO (G < 0.05)
137371345,AFX,173.00762646043165,opt,BFGS + RFO (G < 0.05)
137318199,AFX,188.27040768678697,MD,CG + RFO (G < 0.10)
137359211,AFX,173.08905331304757,opt,BFGS + RFO (G < 0.15)
137359211,AFX,188.27849560356373,MD,BFGS + RFO (G < 0.15)
137321307,AFY,152.66425681139074,MD,BFGS + RFO (G < 0.05)
137321307,AFY,137.74130153454084,opt,BFGS + RFO (G < 0.05)
137370086,AFY,137.7413014742375,opt,Lower + RFO
137370473,AFY,152.5946570761875,MD,CG + RFO (G < 0.10)
137370473,AFY,146.53583712765814,opt,CG + RFO (G < 0.10)
137370086,AFY,152.68827308187875,MD,Lower + RFO
137342260,AHT,188.9419197908976,MD,BFGS + RFO (G < 0.05)
137351256,AHT,177.3045444027107,opt,BFGS + RFO (G < 0.15)
137342260,AHT,176.91528404439453,opt,BFGS + RFO (G < 0.05)
137351256,AHT,188.90014519519718,MD,BFGS + RFO (G < 0.15)
137322639,AHT,182.11843814499377,opt,CG + RFO (G < 0.10)
137322639,AHT,187.6491552307889,MD,CG + RFO (G < 0.10)
137366551,alpha-quartz,149.46513952807658,MD,BFGS + RFO (G < 0.15)
137328552,alpha-quartz,135.53287012531723,opt,Lower + RFO
137328552,alpha-quartz,150.0034143453775,MD,Lower + RFO
137366551,alpha-quartz,135.53287012531723,opt,BFGS + RFO (G < 0.15)
